ticker,date,open,high,low,close
FXS,2023-04-21,8.76561,9.27146,8.22027,8.23609
FXS,2023-04-22,8.22909,8.34141,7.98572,8.15182
FXS,2023-04-23,8.16082,8.25625,7.83819,8.0164
FXS,2023-04-24,8.0134,8.34067,7.94756,8.22625
FXS,2023-04-25,8.23725,8.47395,7.89263,8.46495
FXS,2023-04-26,8.47795,8.79467,7.92458,8.32083
FXS,2023-04-27,8.31766,8.53688,8.20656,8.4132
FXS,2023-04-28,8.42061,8.4533,7.79574,7.87914
FXS,2023-04-29,7.87206,8.05431,7.8137,8.00664
FXS,2023-04-30,8.00672,8.04174,7.65159,7.67837
FXS,2023-05-01,7.67129,7.73409,7.49787,7.55704
FXS,2023-05-02,7.57805,7.94948,7.57805,7.83886
FXS,2023-05-03,7.86379,8.13011,7.54249,8.06218
FXS,2023-05-04,8.09218,8.15228,7.59619,7.62782
FXS,2023-05-05,7.62574,7.98599,7.58126,7.90819
FXS,2023-05-06,7.90519,7.98113,7.35731,7.47398
FXS,2023-05-07,7.46797,7.56197,7.34324,7.40766
FXS,2023-05-08,7.41166,7.49791,6.60455,6.77328
FXS,2023-05-09,6.78609,6.95395,6.72372,6.73773
FXS,2023-05-10,6.72803,6.93963,6.5091,6.73573
FXS,2023-05-11,6.76276,6.79579,5.87587,5.93693
FXS,2023-05-12,5.95895,6.5089,5.88288,6.46417
FXS,2023-05-13,6.46617,6.58195,6.31979,6.5089
FXS,2023-05-14,6.52426,6.74404,6.43686,6.679
FXS,2023-05-15,6.68301,7.28337,6.64498,7.16101
FXS,2023-05-16,7.145,7.38517,6.96387,7.22961
FXS,2023-05-17,7.21689,7.511,6.92077,7.3977
FXS,2023-05-18,7.4027,7.4087,7.04782,7.21188
FXS,2023-05-19,7.21116,7.35494,7.14257,7.24917
FXS,2023-05-20,7.25663,7.35962,7.12598,7.20748
FXS,2023-05-21,7.21949,7.32766,6.99049,7.03622
FXS,2023-05-22,7.03452,7.6058,6.98119,7.09726
FXS,2023-05-23,7.09555,7.2798,6.9088,7.02442
FXS,2023-05-24,7.02049,7.06778,6.78325,6.93058
FXS,2023-05-25,6.93265,6.94644,6.69226,6.7592
FXS,2023-05-26,6.7487,6.95136,6.72561,6.91552
FXS,2023-05-27,6.92008,6.96037,6.79397,6.95957
FXS,2023-05-28,6.96579,7.01896,6.91607,6.99661
FXS,2023-05-29,7.01354,7.128,6.84978,6.87706
FXS,2023-05-30,6.87499,7.02562,6.61365,6.70768
FXS,2023-05-31,6.70561,6.73375,6.44916,6.48104
FXS,2023-06-01,6.47904,6.655,6.39453,6.58684
FXS,2023-06-02,6.57784,6.73862,6.48356,6.64173
FXS,2023-06-03,6.63779,6.68607,6.5096,6.5096
FXS,2023-06-04,6.51347,6.68214,6.50815,6.65013
FXS,2023-06-05,6.67213,6.70501,6.10605,6.15478
FXS,2023-06-06,6.15385,6.37815,6.07443,6.32677
FXS,2023-06-07,6.33284,6.35452,6.04051,6.10673
FXS,2023-06-08,6.10861,6.14486,5.94907,5.96507
FXS,2023-06-09,5.96707,5.97013,5.82778,5.90482
FXS,2023-06-10,5.903,5.90629,4.93286,4.93286
FXS,2023-06-11,4.93486,5.00335,4.82393,4.94002
FXS,2023-06-12,4.92502,5.09502,4.77372,5.0315
FXS,2023-06-13,5.0362,5.128,4.88697,4.99835
FXS,2023-06-14,5.0064,5.07653,4.78899,4.82557
FXS,2023-06-15,4.83442,4.84242,4.59689,4.68811
FXS,2023-06-16,4.6891,5.43954,4.67365,5.32879
FXS,2023-06-17,5.32379,5.84003,5.26931,5.57171
FXS,2023-06-18,5.58671,5.65579,5.38017,5.41375
FXS,2023-06-19,5.41475,5.62314,5.27694,5.61526
FXS,2023-06-20,5.61926,6.01072,5.57721,5.88188
FXS,2023-06-21,5.88088,6.25938,5.87971,6.09537
FXS,2023-06-22,6.09861,6.28174,5.93524,5.96625
FXS,2023-06-23,5.96325,6.02717,5.7058,5.81437
FXS,2023-06-24,5.80036,5.84839,5.54188,5.70559
FXS,2023-06-25,5.70559,5.99534,5.70296,5.90689
FXS,2023-06-26,5.91672,6.16631,5.75978,5.87323
FXS,2023-06-27,5.86023,5.9546,5.63407,5.66802
FXS,2023-06-28,5.66562,5.70208,5.36159,5.476
FXS,2023-06-29,5.48295,5.59738,5.41284,5.49945
FXS,2023-06-30,5.49129,5.93304,5.41462,5.81079
FXS,2023-07-01,5.81396,5.9684,5.77627,5.897
FXS,2023-07-02,5.90394,5.96346,5.75683,5.82752
FXS,2023-07-03,5.83858,6.57826,5.815,6.41445
FXS,2023-07-04,6.43351,6.62379,6.35195,6.53744
FXS,2023-07-05,6.53231,6.58579,6.16175,6.21893
FXS,2023-07-06,6.23093,6.94114,6.19243,6.50774
FXS,2023-07-07,6.49948,6.5228,6.20519,6.27763
FXS,2023-07-08,6.27857,6.38226,6.21893,6.34108
FXS,2023-07-09,6.34702,6.37877,6.17205,6.22612
FXS,2023-07-10,6.22812,6.6156,6.18693,6.36045
FXS,2023-07-11,6.32082,6.38806,6.16618,6.27913
FXS,2023-07-12,6.28925,6.413,6.12563,6.2165
FXS,2023-07-13,6.20363,6.69061,6.17232,6.60264
FXS,2023-07-14,6.60764,6.92946,6.40214,6.51513
FXS,2023-07-15,6.51419,6.69914,6.32096,6.44387
FXS,2023-07-16,6.43887,6.51147,6.29489,6.41295
FXS,2023-07-17,6.41001,6.56704,6.25025,6.36108
FXS,2023-07-18,6.36908,6.41009,6.09212,6.18636
FXS,2023-07-19,6.18642,6.25588,5.90124,5.94394
FXS,2023-07-20,5.954,6.03894,5.77048,5.82659
FXS,2023-07-21,5.82494,6.0084,5.76471,5.97206
FXS,2023-07-22,5.97606,6.11867,5.97606,6.10061
FXS,2023-07-23,6.10367,6.15855,5.95595,6.02088
FXS,2023-07-24,6.02288,6.05264,5.8313,5.94935
FXS,2023-07-25,5.94935,6.00328,5.83318,5.85659
FXS,2023-07-26,5.86947,6.0427,5.79936,5.98312
FXS,2023-07-27,5.98518,6.24081,5.97306,6.09335
FXS,2023-07-28,6.09635,6.44868,6.0873,6.38987
FXS,2023-07-29,6.38487,6.61793,6.36681,6.6
FXS,2023-07-30,6.58293,6.609,6.14206,6.25844
FXS,2023-07-31,6.2685,6.2685,5.48329,5.52312
FXS,2023-08-01,5.51512,6.19272,5.13641,6.08989
FXS,2023-08-02,6.0849,6.14385,5.63562,5.95055
FXS,2023-08-03,5.95954,6.10625,5.91797,5.94418
FXS,2023-08-04,5.94518,6.46086,5.86243,6.31689
FXS,2023-08-05,6.3039,6.64967,6.18798,6.37416
FXS,2023-08-06,6.36491,6.78196,6.35055,6.45597
FXS,2023-08-07,6.4486,6.661,6.25461,6.30461
FXS,2023-08-08,6.30649,6.43881,6.16573,6.29906
FXS,2023-08-09,6.30505,6.42002,6.11869,6.16064
FXS,2023-08-10,6.16057,6.26367,6.04159,6.05258
FXS,2023-08-11,6.05252,6.36061,6.04471,6.359
FXS,2023-08-12,6.37198,6.57892,6.356,6.45338
FXS,2023-08-13,6.45032,6.58659,6.35829,6.51485
FXS,2023-08-14,6.51385,6.88886,6.46518,6.79917
FXS,2023-08-15,6.78619,7.01809,6.45602,6.61658
FXS,2023-08-16,6.60266,6.63696,6.27041,6.34795
FXS,2023-08-17,6.33896,6.61672,5.29603,5.61885
FXS,2023-08-18,5.54011,6.03408,5.52611,6.01129
FXS,2023-08-19,6.01647,6.37502,6.00947,6.33716
FXS,2023-08-20,6.32716,6.46264,6.07364,6.07964
FXS,2023-08-21,6.07964,6.22038,6.0164,6.10508
FXS,2023-08-22,6.10702,6.13513,5.47382,5.59355
FXS,2023-08-23,5.60499,6.03877,5.58839,5.98196
FXS,2023-08-24,5.98426,6.201,5.85621,5.89959
FXS,2023-08-25,5.89989,6.06246,5.78333,5.84213
FXS,2023-08-26,5.84193,5.85216,5.67562,5.83219
FXS,2023-08-27,5.83209,5.92076,5.74784,5.87704
FXS,2023-08-28,5.87708,6.00136,5.86319,5.93167
FXS,2023-08-29,5.93441,6.02144,5.70782,5.90012
FXS,2023-08-30,5.90066,5.96781,5.81406,5.8239
FXS,2023-08-31,5.82574,5.86253,5.56992,5.61827
FXS,2023-09-01,5.61827,5.69241,5.49647,5.60998
FXS,2023-09-02,5.60994,5.71667,5.59719,5.65138
FXS,2023-09-03,5.65158,5.68918,5.35514,5.38303
FXS,2023-09-04,5.38723,5.61785,5.38498,5.51775
FXS,2023-09-05,5.51725,5.58293,5.42411,5.44333
FXS,2023-09-06,5.44253,5.68596,5.44149,5.57945
FXS,2023-09-07,5.58315,5.67796,5.46898,5.55507
FXS,2023-09-08,5.55429,5.68869,5.39311,5.39934
FXS,2023-09-09,5.39904,5.50109,5.39856,5.41312
FXS,2023-09-10,5.41562,5.41562,5.09183,5.10956
FXS,2023-09-11,5.10911,5.15204,4.94042,4.99845
FXS,2023-09-12,4.9993,5.19223,4.99875,5.14569
FXS,2023-09-13,5.14424,5.36899,5.05134,5.35587
FXS,2023-09-14,5.36137,5.45853,5.27392,5.3536
FXS,2023-09-15,5.36245,5.44357,5.29502,5.33126
FXS,2023-09-16,5.34005,5.45415,5.34005,5.40149
FXS,2023-09-17,5.40329,5.40786,5.17339,5.20445
FXS,2023-09-18,5.20505,5.50599,5.19113,5.35986
FXS,2023-09-19,5.35966,5.46707,5.25307,5.29084
FXS,2023-09-20,5.30024,5.3685,5.15041,5.23571
FXS,2023-09-21,5.23541,5.40359,5.22561,5.35739
FXS,2023-09-22,5.35684,5.46538,5.28539,5.45642
FXS,2023-09-23,5.45687,6.39994,5.37751,5.38898
FXS,2023-09-24,5.38978,5.5162,5.34696,5.40802
FXS,2023-09-25,5.41542,6.64371,5.31848,5.59532
FXS,2023-09-26,5.59666,5.94462,5.59486,5.87467
FXS,2023-09-27,5.87397,6.06568,5.70736,5.73755
FXS,2023-09-28,5.76069,6.03772,5.76063,5.94448
FXS,2023-09-29,5.94394,6.1382,5.69032,5.72737
FXS,2023-09-30,5.73643,5.90465,5.51239,5.5201
FXS,2023-10-01,5.5181,5.82335,5.48644,5.78069
FXS,2023-10-02,5.78369,5.92658,5.33092,5.37336
FXS,2023-10-03,5.37286,5.72821,5.36536,5.55314
FXS,2023-10-04,5.55304,5.7404,5.41617,5.67718
FXS,2023-10-05,5.67523,5.72797,5.23581,5.25297
FXS,2023-10-06,5.25072,5.44611,5.19836,5.42382
FXS,2023-10-07,5.42292,5.55585,5.4124,5.54106
FXS,2023-10-08,5.54326,5.54896,5.41499,5.45161
FXS,2023-10-09,5.45141,5.46919,5.17004,5.20369
FXS,2023-10-10,5.20429,5.34887,5.14933,5.25498
FXS,2023-10-11,5.25378,5.52319,5.17498,5.3433
FXS,2023-10-12,5.34565,6.01082,5.25991,5.76836
FXS,2023-10-13,5.75337,5.76871,5.39336,5.72368
FXS,2023-10-14,5.66981,5.77519,5.61649,5.7606
FXS,2023-10-15,5.7636,5.89706,5.74071,5.89706
FXS,2023-10-16,5.89924,5.92924,5.60073,5.77437
FXS,2023-10-17,5.78237,5.78431,5.48208,5.50254
FXS,2023-10-18,5.50214,5.54118,5.29926,5.32302
FXS,2023-10-19,5.32352,5.41899,5.21513,5.21709
FXS,2023-10-20,5.21789,5.41144,5.21335,5.29522
FXS,2023-10-21,5.29372,5.539,5.26423,5.44347
FXS,2023-10-22,5.44797,5.50089,5.29842,5.34392
FXS,2023-10-23,5.35202,5.76598,5.33817,5.61162
FXS,2023-10-24,5.61132,6.76869,5.59884,5.72801
FXS,2023-10-25,5.72611,6.10875,5.65665,5.94797
FXS,2023-10-26,5.95657,6.36771,5.79819,5.98086
FXS,2023-10-27,5.9851,6.08577,5.74146,5.85889
FXS,2023-10-28,5.85975,6.14571,5.83748,6.07817
FXS,2023-10-29,6.07713,6.14765,5.99684,6.12644
FXS,2023-10-30,6.1269,6.1561,5.90832,5.98007
FXS,2023-10-31,6.00848,6.11819,5.6895,5.83989
FXS,2023-11-01,5.81027,6.09198,5.6509,5.96415
FXS,2023-11-02,5.96455,6.42779,5.96035,6.27375
FXS,2023-11-03,6.27622,6.29038,6.02595,6.22163
FXS,2023-11-04,6.22549,6.58188,6.17189,6.58188
FXS,2023-11-05,6.59276,6.66947,6.34019,6.41613
FXS,2023-11-06,6.42401,6.83192,6.31605,6.6848
FXS,2023-11-07,6.68687,6.68787,6.16081,6.25131
FXS,2023-11-08,6.22219,6.45959,6.17515,6.33729
FXS,2023-11-09,6.33779,6.67657,5.75382,6.3358
FXS,2023-11-10,6.3359,7.33634,6.3247,7.03486
FXS,2023-11-11,7.03686,7.1258,6.66786,6.73628
FXS,2023-11-12,6.73818,6.962,6.52083,6.86711
FXS,2023-11-13,6.86675,7.97191,6.62948,7.34516
FXS,2023-11-14,7.34276,7.87021,7.00199,7.33545
FXS,2023-11-15,7.33755,8.21086,7.33643,8.04722
FXS,2023-11-16,8.05164,8.05997,7.39612,7.51133
FXS,2023-11-17,7.51073,7.74498,6.99019,7.28268
FXS,2023-11-18,7.28308,7.30661,6.9179,7.15721
FXS,2023-11-19,7.15678,7.32353,6.97874,7.18316
FXS,2023-11-20,7.18296,7.67749,7.18296,7.31374
FXS,2023-11-21,7.31224,7.38669,6.50771,6.61021
FXS,2023-11-22,6.60711,7.42025,6.53915,7.23511
FXS,2023-11-23,7.23554,7.32622,7.05313,7.18841
FXS,2023-11-24,7.19921,7.47114,7.1564,7.41365
FXS,2023-11-25,7.41345,7.49232,7.28103,7.34163
FXS,2023-11-26,7.34123,7.40194,7.05444,7.26616
FXS,2023-11-27,7.27249,7.36462,6.9807,7.19737
FXS,2023-11-28,7.19314,7.28595,6.92088,6.93192
